region,total,lat,lon,state,remoteness,n_government,n_catholic,n_independent,dominant_sector
Holdfast Bay,10,-34.9991,138.5211,SA,Major Cities,6,3,1,Government
Holland Park - Yeronga,31,-27.5054,153.0453,QLD,Major Cities,21,9,1,Government
Hornsby,31,-33.6815,151.1155,NSW,Major Cities,20,5,6,Government
Huon - Bruny Island,12,-43.1452,147.0612,TAS,Outer Regional,9,2,1,Government
Hurstville,39,-33.968,151.0824,NSW,Major Cities,27,8,4,Government
Innisfail - Cassowary Coast,40,-17.5821,145.9737,QLD,Outer Regional,30,6,4,Government
Inverell - Tenterfield,32,-29.5136,151.3719,NSW,Outer Regional,28,4,0,Government
Ipswich Hinterland,49,-27.6258,152.5392,QLD,Inner Regional,43,4,2,Government
Ipswich Inner,48,-27.6171,152.7733,QLD,Major Cities,28,8,12,Government
Jervis Bay,1,-35.1315,150.7056,ACT,Inner Regional,1,0,0,Government
Jimboomba,16,-27.8024,153.0379,QLD,Major Cities,10,4,2,Government
Joondalup,73,-31.7894,115.7687,WA,Major Cities,52,9,12,Government
Kalamunda,27,-31.9832,116.0403,WA,Major Cities,18,2,7,Government
Katherine,28,-15.3089,132.8449,NT,Very Remote,27,1,0,Government
Keilor,21,-37.7358,144.8786,VIC,Major Cities,11,7,3,Government
Kempsey - Nambucca,34,-30.895,152.8715,NSW,Inner Regional,25,4,5,Government
Kenmore - Brookfield - Moggill,13,-27.5179,152.9277,QLD,Major Cities,9,1,3,Government
Kiama - Shellharbour,36,-34.5863,150.8262,NSW,Major Cities,25,6,5,Government
Kimberley,46,-17.6699,125.3845,WA,Very Remote,23,14,9,Government
Kingston,39,-37.9978,145.0874,VIC,Major Cities,27,9,3,Government
Knox,51,-37.8773,145.2592,VIC,Major Cities,35,10,6,Government
Kogarah - Rockdale,45,-33.9574,151.1308,NSW,Major Cities,24,11,10,Government
Ku-ring-gai,52,-33.743,151.1471,NSW,Major Cities,24,6,22,Government
Kwinana,17,-32.2467,115.8256,WA,Major Cities,12,1,4,Government
